Filename,Date Digitized,QA complete,OCR complete,Call No.,BIB_ID,Title,Author,Pub date,Pub date in record,Pub Place,Country,OCLC no.,Desc,Repository
ksrl_sc_griffith_h219_0001,2015-04-29,2015-04-30,2015-05-01,GRIFFITH H219,7881339,A los honduren_os.,,1862,1862.,Comayagua :,Honduras,(OCoLC)ocn855362435,1 sheet ; 32 cm.,Special Collections
ksrl_sc_griffith_h220_0001,2015-04-29,2015-04-30,2015-05-01,GRIFFITH H220,7881287,Advertencia : hace pocos dias que el digno Catedra_tico de Ca_nones de la Universidad de Guatemala....,,1862,1862.,San Salvador :,El Salvador,(OCoLC)ocn855334084,1 sheet ; 33 cm.,Special Collections
ksrl_sc_griffith_h231_0001,2015-04-29,2015-04-30,2015-05-01,GRIFFITH H231,7881293,"Secretari_a de Estado en el Despacho de la Guerra, Tegucigalpa 10 de agosto de 1886 / [signed] D. Gutierrez.","Gutierrez, D.",1886,1886],[Tegucigalpa :,Honduras,(OCoLC)ocn855333681,1 sheet ; 34 cm.,Special Collections
ksrl_sc_griffith_h233_0001,2015-04-29,2015-04-30,2015-05-01,GRIFFITH H233,7881295,"Al exmo. sr. presidente de la repu_blica, los infrascritos elevan la siguiente patrio_tica manifestacio_n / [signed] Liberato Guerrero... [et al.].",,1862,1862.,Tegucigalpa :,Honduras,(OCoLC)ocn855334087,1 sheet ; 34 cm.,Special Collections
ksrl_sc_griffith_h234_0001 & ksrl_sc_griffith_h234_0002,2015-04-29,2015-04-30,2015-05-01,GRIFFITH H234,7881296,"Disposiciones de la Junta de Sanidad, aprobadas por el supremo gobierno / [signed] El Presidente.","Bogra_n, Luis, 1849-1895.",1891,1891.,Tegucigalpa :,Honduras,(OCoLC)ocn855362459,1 sheet ; 35 cm.,Special Collections
ksrl_sc_griffith_h235_0001,2015-04-29,2015-04-30,2015-05-01,GRIFFITH H235,6769514,Acuerdo en que se desarrollan algunos puntos del Decreto de 17 de enero / Secretari_a de Estado en el Despacho de Gobernacio_n.,Honduras. Secretari_a de Estado en el Despacho de Gobernacio_n.,1886,1886.,Tegucigalpa :,Honduras,(OCoLC)ocn491373065,1 sheet ; 34 cm.,Special Collections
ksrl_sc_griffith_h235_0002,2015-04-29,2015-04-30,2015-05-01,GRIFFITH H235,7881297,Habie_ndose recibido avisos de Nicaragua de que el General Emilio Delgado ha organizado... / [signed] Ponciano Leiva ; Ma_ximo Ga_lvez.,"Leiva, Ponciano, 1821-1896.",1886,1886.,Tegucigalpa :,Honduras,(OCoLC)ocn855333683,1 sheet ; 34 cm.,Special Collections
ksrl_sc_griffith_h236_0001,2015-04-29,2015-04-30,2015-05-01,GRIFFITH H236,7881298,"Presidente de la repu_blica de Honduras, a sus habitantes, sabed : que el Congreso Nacional ha ordenado lo siguiente...",,1893,[1893],Tegucigalpa :,Honduras,(OCoLC)ocn855334088,1 sheet ; 35 cm.,Special Collections
ksrl_sc_griffith_h237_0001,2015-04-29,2015-04-30,2015-05-01,GRIFFITH H237,7881299,"Unio_n Postal Universal, Direccio_n Jeneral de Correos de la repu_blica de Honduras / [signed] T. Estrada.","Estrada, T.",1879,1879.,Tegucigalpa :,Honduras,(OCoLC)ocn855333684,1 sheet ; 33 cm.,Special Collections
ksrl_sc_griffith_h238_0001,2015-04-29,2015-04-30,2015-05-01,GRIFFITH H238,7881300,"Considerando : que, si bien durante la actual administracio_n a nadie se ha perseguido por delitos poli_ticos... [signed] P. Bonilla... [et al.].",,1896,[1896],Tegucigalpa :,Honduras,(OCoLC)ocn855362464,1 sheet ; 35 cm.,Special Collections
ksrl_sc_griffith_h239_0001,2015-04-29,2015-04-30,2015-05-01,GRIFFITH H239,7881301,"Presidente de la repu_blica de Honduras, a sus habitantes, sabed... / Luis Bogra_n, Rafael Alvarado.","Bogra_n, Luis, 1849-1895.",1887,1887.,Tegucigalpa :,Honduras,(OCoLC)ocn855362466,1 sheet ; 35 cm.,Special Collections
ksrl_sc_griffith_h240_0001,2015-04-29,2015-04-30,2015-05-01,GRIFFITH H240,7881302,"Presidente de la repu_blica, considerando : que debelada la faccio_n que acaudillo_... / [signed] Luis Bogra_n... [et al.].",,1886,1886],[Honduras :,Honduras,(OCoLC)ocn855333685,1 sheet ; 34 cm.,Special Collections
ksrl_sc_griffith_h259_0001,2015-04-30,2015-04-30,2015-05-01,GRIFFITH H259,7892844,"Advertencia. El ""nit-ocioso"" y la ""Hoja de vichos;"" esas dos lumbreras de Guatemala, esta_n ilustrando a todo Centro America.",,1862,[1862],[San Salvador] :,El Salvador,(OCoLC)ocn857860625,1 sheet ; 35 cm.,Special Collections
ksrl_sc_griffith_h261_0001,2015-04-28,2015-04-29,2015-05-01,GRIFFITH H261,7911335,"Considerando : que el ilustre y beneme_rito ciudadano don Leon Alvarado, ha fallecido en Lo_ndres el 10 de marzo... Jose_ Mari_a Medina, capita_n general y presidente de la repu_blica de Honduras.","Medina, Jose_ Mari_a, 1826-1878.",1870,1870],[Honduras :,Honduras,(OCoLC)ocn862238833,1 broadside ; 46 cm.,Special Collections
ksrl_sc_griffith_h262_0001,2015-04-28,2015-04-29,2015-05-01,GRIFFITH H262,7911324,"Nos D. Fr. Juan de Jesu_s Zepeda y Zepeda, de la regular observancia del sera_fico padre San Francisco, por la gracia de dios y de la santa sede aposto_lica, obispo de Comayagua. Al venerable clero y demas fieles de nuestra diocesis, salud y paz en nue","Zepeda y Zepeda, Juan de Jesu_s, 1808-1885.",1862,1862],[Honduras :,Honduras,(OCoLC)ocn862238831,1 sheet ; 39 cm.,Special Collections
ksrl_sc_griffith_p67_0001,2015-04-10,2015-04-10,2015-04-29,GRIFFITH P67 ITEM 7,3790066,"Conocimiento que el tribunal y contaduri_a mayor de cuentas en cuplimiento de su deber da al superintendente del mismo ramo, de las glosadas y fenecidas desde el mes de Octubre u_ltimo hasta el de Marzo que acaba de espirar.",Honduras. Secretari_a de Hacienda y Cre_dito Pu_blico.,1851,1851.,Comayagua :,Honduras,(OCoLC)ocm58462520,1 sheet ; 22 x 31 cm.,Special Collections
ksrl_sc_griffith_p197_0001,2015-02-26,2015-03-02,2015-04-29,GRIFFITH P197,7509449,"Sen_or don--, Colejio de San Luis Gonzaga.",,1878,1878.,Cartago :,Costa Rica,(OCoLC)ocn759870097,1 fold. sheet ; 21 cm.,Special Collections
ksrl_sc_griffith_p198_0001,2015-02-26,2015-03-02,2015-04-29,GRIFFITH P198,7509450,Voto para vocales de la Junta de Caridad por los sen_ores siguientes.,,18uu,18--?],[Costa Rica :,Costa Rica,(OCoLC)ocn759870099,1 sheet ; 18 cm.,Special Collections
ksrl_sc_griffith_p201_0001,2015-02-26,2015-03-02,2015-04-29,GRIFFITH P201,7503236,"[En el propo_sito de concluir, en el menor tiempo posible, varias obras de interes pu_blico.... / rubricado por el Sen_or Presidente. Rosa.].","Rosa, Ramo_n, 1848-1893.",1878,1878.,Tegucigalpa :,Honduras,(OCoLC)ocn758396549,1 sheet ; 33 cm.,Special Collections
ksrl_sc_griffith_p202_0001,2015-02-26,2015-03-02,2015-04-29,GRIFFITH P202,7503237,[Honduras es una de las mas privilegiadas secciones de la Ame_rica Central...].,Honduras. Secretari_a de Fomento.,1878,1878.,"Tegucigalpa : Tip. Nacional,",Honduras,(OCoLC)ocn758396941,1 sheet ; 33 cm.,Special Collections
ksrl_sc_griffith_p204_0001,2015-02-26,2015-03-02,2015-04-29,GRIFFITH P204,7503239,"Viva Centro-Ame_rica! / [signed] el Secretario de Estado en el Despacho de la Guerra, Galvez.",Honduras. Ministerio de la Guerra.,1885,1885.,Tegucigalpa :,Honduras,(OCoLC)ocn758398689,1 sheet ; 34 cm.,Special Collections
ksrl_sc_griffith_p205_0001,2015-02-26,2015-03-02,2015-04-29,GRIFFITH P205,7503240,A la campan_a!,,1885,1885.,Tegucigalpa :,Honduras,(OCoLC)ocn758396944,1 sheet ; 34 cm.,Special Collections
ksrl_sc_griffith_p206_0001,2015-02-26,2015-03-02,2015-04-29,GRIFFITH P206,7503241,"Ponciano Leiva, general de divisio_n en ejercicio del poder ejecutivo de la repu_blica, en uso de sus facultades, decreta... / [signed] Dionisio Gutie_rrez.","Gutie_rrez, Dionisio.",1886,1886],[Tegucigalpa :,Honduras,(OCoLC)ocn758398694,1 sheet ; 34 cm.,Special Collections
ksrl_sc_griffith_p207_0001,2015-02-26,2015-03-02,2015-04-29,GRIFFITH P207,7503242,Indicacio_n.,,1852,1852.,Tegucigalpa :,Honduras,(OCoLC)ocn758396550,1 sheet ; 34 cm.,Special Collections
ksrl_sc_griffith_p272_0001,2015-02-28,2015-03-02,2015-04-29,GRIFFITH P272,7555079,Himno nacional de Nicaragua / Ministerio de Instruccio_n Pu_blica.,Nicaragua. Ministerio de Instruccio_n Pu_blica.,18uu,[18--?],Nicaragua :,Nicaragua,(OCoLC)ocn776243548,1 sheet ; 8 x 14 cm.,Special Collections
ksrl_sc_griffith_p393_0001,2015-03-06,2015-03-09,2015-04-29,GRIFFITH P393,7591949,Teguicigalpas! / [signed] Manuel Zu_niga... [et al.].,,1885,1885.,Tegucigalpa :,Honduras,(OCoLC)ocn789689083,1 sheet ; 30 cm.,Special Collections
ksrl_sc_griffith_p394_0001,2015-03-06,2015-03-09,2015-04-29,GRIFFITH P394,7591950,"El presidente de la repu_blica, en uso de sus facultades, acuerda....",Honduras. Secretari_a Jeneral del Gobierno Constitucional.,1878,1878.,[Tegucigalpa] :,Honduras,(OCoLC)ocn789689084,1 sheet ; 30 cm.,Special Collections
ksrl_sc_griffith_p395_0001,2015-03-06,2015-03-09,2015-04-29,GRIFFITH P395,7591951,Sen_or / La Corporacio_n Municipal de Comayagua.,Corporacio_n Municipal de Comayagua.,1854,1854],[Honduras :,Honduras,(OCoLC)ocn789693382,1 sheet ; 17 x 22 cm.,Special Collections
ksrl_sc_griffith_p398_0001,2015-03-06,2015-03-09,2015-04-29,GRIFFITH P398,7611196,Celebracio_n del patriarca San Jose_ : de_cima.,,18uu,18--?],[Costa Rica? :,Costa Rica,(OCoLC)ocn794189637,1 sheet ; 22 cm.,Special Collections
ksrl_sc_griffith_p421_0001,2015-03-07,2015-03-09,2015-04-29,GRIFFITH P421,7611208,"Ilustri_simo Sr. Dr. D. fray Juan de Jesu_s Zepeda, obispo de Honduras / [signed] Francisco Navarro.","Navarro, Francisco.",1885,1885.,Guarita :,Honduras,(OCoLC)ocn794189646,1 sheet ; 33 cm.,Special Collections
ksrl_sc_griffith_p422_0001,2015-03-07,2015-03-09,2015-04-29,GRIFFITH P422,7611210,Diputados al congreso lejislativo de 1881 / [signed] Los amigos de la paz.,Amigos de la paz (Honduras),1880,1880.,Tegucigalpa :,Honduras,(OCoLC)ocn794190629,1 sheet ; 31 cm.,Special Collections
ksrl_sc_griffith_p434_0001,2015-03-07,2015-03-09,2015-04-29,GRIFFITH P434,7611510,Comisionados del barrio-abajo a sus vecinos.,,18uu,18--?],[Honduras? :,Honduras,(OCoLC)ocn794240932,1 sheet : ill. ; 19 cm.,Special Collections
ksrl_sc_griffith_p439_0001,2015-03-07,2015-03-09,2015-04-29,GRIFFITH P439,7611514,"Presidente de la repu_blica, considerando-- / [signed] Luis Bogran... [et al.].",,1886,1886],[Tegucigalpa :,Honduras,(OCoLC)ocn794241380,1 sheet ; 29 cm.,Special Collections
ksrl_sc_griffith_p441_0001,2015-03-07,2015-03-09,2015-04-29,GRIFFITH P441,7611516,"Presidente de la repu_blica, teniendo que ausentarse de esta Capital por motivos de intere_s pu_blico y privado... / [signed] Luis Bogra_n... [et al.].",,1886,1886],[Tegucigalpa :,Honduras,(OCoLC)ocn794241382,1 sheet ; 30 cm.,Special Collections
ksrl_sc_griffith_p442_0001,2015-03-07,2015-03-09,2015-04-29,GRIFFITH P442,7611517,"City of Mexico"" capturado.",,1886,1886.,Tegucigalpa :,Honduras,(OCoLC)ocn794240934,1 sheet ; 30 cm.,Special Collections
ksrl_sc_griffith_p460_0001,2015-03-07,2015-03-09,2015-04-29,GRIFFITH P460,7616399,Lo que pasa en El Salvador : telegramas.,,189u,189-?],[El Salvador? :,El Salvador,(OCoLC)ocn795743747,1 sheet ; 25 cm.,Special Collections
ksrl_sc_griffith_p468_0001,2015-03-07,2015-03-09,2015-04-29,GRIFFITH P468,7616418,Sen_or jefe poli_tico del departamento de--.,Honduras. Ministerio de Relaciones.,1847,1847.,Comayagua :,Honduras,(OCoLC)ocn795742716,1 sheet ; 31 cm.,Special Collections
ksrl_sc_griffith_p480_0001,2015-03-10,2015-03-16,2015-04-29,GRIFFITH P480,7616440,Sen_or jefe poli_tico del departamento de--.,,1847,1847.,Comayagua :,Honduras,(OCoLC)ocn795742722,1 sheet ; 31 cm.,Special Collections
ksrl_sc_griffith_p487_0001,2015-03-10,2015-03-16,2015-04-29,GRIFFITH P487,7616449,Sen_or jefe poli_tico e_ intendente del departamento de--.,Honduras. Ministerio de Relaciones.,1847,1847.,Comayagua :,Honduras,(OCoLC)ocn795742725,1 sheet ; 32 cm.,Special Collections
ksrl_sc_griffith_p488_0001,2015-03-10,2015-03-16,2015-04-29,GRIFFITH P488,7616452,Sen_or jefe poli_tico e_ intendente del departamento de--.,Honduras. Ministerio de Relaciones.,1847,1847.,Comayagua :,Honduras,(OCoLC)ocn795742726,1 sheet ; 32 cm.,Special Collections
ksrl_sc_griffith_p493_0001,2015-03-10,2015-03-16,2015-04-29,GRIFFITH P493,7616461,Parte oficial / [signed] Manuel Quijono.,"Quijono, Manuel.",1840,1840.,Tegucigalpa :,Honduras,(OCoLC)ocn795743757,1 sheet ; 31 cm.,Special Collections
ksrl_sc_griffith_p494_0001,2015-03-10,2015-03-16,2015-04-29,GRIFFITH P494,7616463,Director del estado de Nicaragua a sus habitantes...].,Nicaragua. Ministerio General.,1841,1841.,Leon :,Nicaragua,(OCoLC)ocn795743758,1 sheet ; 32 cm.,Special Collections
ksrl_sc_griffith_p495_0001,2015-03-10,2015-03-16,2015-04-29,GRIFFITH P495,7616464,Sen_or jefe poli_tico del departamento de--,Honduras. Ministerio de Relaciones.,1847,1847.,Comayagua :,Honduras,(OCoLC)ocn795743329,1 sheet ; 32 cm.,Special Collections
ksrl_sc_griffith_p496_0001,2015-03-10,2015-03-16,2015-04-29,GRIFFITH P496,7616466,Al Sr. gobernador del departamento de...,El Salvador. Ministerio de Hacienda y Guerra.,1846,1846.,San Salvador :,El Salvador,(OCoLC)ocn795743759,1 sheet ; 31 cm.,Special Collections
ksrl_sc_griffith_p497_0001,2015-03-10,2015-03-16,2015-04-29,GRIFFITH P497,7616468,Al Sr. gobernador del departmento de....,El Salvador. Ministerio General del Estado.,1846,1846.,San Salvador :,El Salvador,(OCoLC)ocn795743761,1 sheet ; 31 cm.,Special Collections
ksrl_sc_griffith_p500_0001,2015-04-09,2015-04-10,2015-04-29,GRIFFITH P500,7616475,Sen_or jefe poli_tico del departamento de--,Honduras. Ministerio de Guerra.,1847,1847.,Comayagua :,Honduras,(OCoLC)ocn795743762,1 sheet ; 32 cm.,Special Collections
ksrl_sc_griffith_p503_0001,2015-03-10,2015-03-16,2015-04-29,GRIFFITH P503,7616481,Al Sr. gobernador del departamento de.... el preisdente del estado me ha dirijido el decreto que sigue.,El Salvador. Ministerio General del Estado.,1846,1846.,San Salvador :,El Salvador,(OCoLC)ocn795742728,1 sheet ; 32 cm.,Special Collections
ksrl_sc_griffith_p504_0001,2015-04-09,2015-04-10,2015-04-29,GRIFFITH P504,7616483,Al Sr. gobernador del departamento de.... El Sr. presidente del estado me ha dirijido el decreto que sigue.,El Salvador. Ministerio General del Estado.,1846,1846.,San Salvador :,El Salvador,(OCoLC)ocn795742729,1 sheet ; 32 cm.,Special Collections
ksrl_sc_griffith_p543_0001,2015-03-26,2015-03-27,2015-04-29,GRIFFITH P543,7648966,Duo / [signed] M.Z.,M. Z.,1843,1843.,Comayagua :,Honduras,(OCoLC)ocn805600240,1 sheet ; 32 cm.,Special Collections
ksrl_sc_griffith_p584_0001,2015-03-26,2015-03-27,2015-04-29,GRIFFITH P584,7649575,Sen_or gobernador poli_tico del departamento de-- / Secretari_a de Fomento del Gobierno Constitucional.,Honduras. Secretari_a de Fomento.,1878,1878.,Honduras :,Honduras,(OCoLC)ocn805986163,1 sheet ; 33 cm.,Special Collections
ksrl_sc_griffith_p586_0001,2015-03-26,2015-03-27,2015-04-29,GRIFFITH P586,7649577,Gran funcio_n estraordinaria. Representacio_n li_rica para el domingo 5 de setiembre de 1852. Ofrecida al ilustrado pu_blico de Tegucigalpa....,,1852,1852.,[Honduras] :,Honduras,(OCoLC)ocn805951927,1 sheet ; 31 cm.,Special Collections
ksrl_sc_griffith_p617_0001,2015-03-28,2015-03-30,2015-04-29,GRIFFITH P617,7649607,Viva Centro-Ame_rica!,,1885,1885.,Tegucigalpa :,Honduras,(OCoLC)ocn805986504,1 sheet ; 31 cm.,Special Collections
ksrl_sc_griffith_p624_0001,2015-03-28,2015-03-30,2015-04-29,GRIFFITH P624,7665495,"Al illmo. i rvmo. sen_or dr. don F. Juan de Jesu_s Zepeda i Zepeda, en el di_a de su cumplean_os / el catedra_tico i estudiantes de grama_tica latina ; [signed] Bruno Padilla... [et al.].",,1878,1878.,Comayagua :,Honduras,(OCoLC)ocn809854238,1 sheet ; 33 cm.,Special Collections
ksrl_sc_griffith_p627_0001,2015-03-28,2015-03-30,2015-04-29,GRIFFITH P627,7665498,Considerando : que la primera i mas urgente necesidad del pai_s es su completa reorganizacio_n... / Ponciano Leiva.,"Leiva, Ponciano, 1821-1896.",1874,1874.,[Honduras] :,Honduras,(OCoLC)ocn809854240,1 sheet ; 33 cm.,Special Collections
ksrl_sc_griffith_p628_0001,2015-03-28,2015-03-30,2015-04-29,GRIFFITH P628,7665499,Considerando : que los intereses del comercio i de la hacienda pu_blica indican la conveniencia de modificar la ley orga_ncia de 1° de diciembre de 1876... / Marco A. Soto.,"Soto, Marco Aurelio, 1846-1908.",1878,1878.,Tegucigalpa :,Honduras,(OCoLC)ocn809853555,1 sheet ; 34 cm.,Special Collections
ksrl_sc_griffith_p629_0001,2015-03-28,2015-03-30,2015-04-29,GRIFFITH P629,7665500,"Teniendo que ausentarse por algunos dias el secretario general, doctor don Ramon Rosa, el presidente acuerda : que durante esa ausencia autoricen los actos del gobierno...",Honduras. Secretari_a Jeneral del Gobierno Constitucional,1878,1878.,Tegucigalpa :,Honduras,(OCoLC)ocn809854241,1 sheet ; 33 cm.,Special Collections
ksrl_sc_griffith_p630_0001,2015-03-28,2015-03-30,2015-04-29,GRIFFITH P630,7665501,Honorable pu_blico / [signed] Federico Sandoval.,"Sandoval, Federico.",1878,1878.,[Honduras] :,Honduras,(OCoLC)ocn809854242,1 sheet ; 33 cm.,Special Collections
ksrl_sc_griffith_p631_0001,2015-03-28,2015-03-30,2015-04-29,GRIFFITH P631,7665502,"Considerando : que los intereses del comercio i de la hacienda pu_blica indican la conveniencia de modificar la ley orga_nica de 1.° de diciembre de 1876, en la parte que se refiere a la venta por mayor i menor de licores fuertes estranjeros... / [sign","Soto, Marco Aurelio, 1846-1908.",1878,1878.,Tegucigalpa :,Honduras,(OCoLC)ocn809854243,1 sheet ; 34 cm.,Special Collections
ksrl_sc_griffith_p633_0001,2015-03-28,2015-03-30,2015-04-29,GRIFFITH P633,7665504,Cartas abiertas / [signed] Ursulo Ramos.,"Ramos, Ursulo.",1880,1880.,[Honduras :,Honduras,(OCoLC)ocn809853556,1 sheet ; 35 cm.,Special Collections
ksrl_sc_griffith_p634_0001,2015-03-28,2015-03-30,2015-04-29,GRIFFITH P634,7665505,"Considerando : que el departamento de Choluteca tiene suficientes productos para atraer, en una e_poca dada, la concurrencia del comercio....",Honduras. Secretari_a Jeneral del Gobierno Constitucional,1878,1878.,Tegucigalpa :,Honduras,(OCoLC)ocn809860134,1 sheet ; 35 cm.,Special Collections
ksrl_sc_griffith_p635_0001,2015-03-28,2015-03-30,2015-04-29,GRIFFITH P635,7794368,Al pu_blico.,,1871,1871.,Comayagua :,Honduras,(OCoLC)ocn823937343,1 sheet ; 35 cm.,Special Collections
